"DateTime";"Максимальная температура, С";"Средняя температура, С";"Минимальная температура, С"
2019-02-19 00:00:00;-8;-18;-28
2019-02-20 00:00:00;-7;-16;-25
2019-02-21 00:00:00;-3;-13.5;-24
2019-02-22 00:00:00;-2;-12.5;-23
2019-02-23 00:00:00;-2;-9;-16
2019-02-24 00:00:00;0;-8;-16
2019-02-25 00:00:00;1;-8;-17
2019-02-26 00:00:00;0;-9;-18
2019-02-27 00:00:00;1;-8.5;-18
2019-02-28 00:00:00;1;-8;-17
2019-03-01 00:00:00;1;-8;-17
2019-03-02 00:00:00;2;-5.5;-13
2019-03-03 00:00:00;1;-6;-13
2019-03-04 00:00:00;2;-5.5;-13
2019-03-05 00:00:00;3;-5.5;-14
2019-03-06 00:00:00;5;-3.5;-12
2019-03-07 00:00:00;5;-2.5;-10
2019-03-08 00:00:00;2;-6;-14
2019-03-09 00:00:00;4;-5;-14
2019-03-10 00:00:00;0;-5;-10
2019-03-11 00:00:00;-1;-7;-13
2019-03-12 00:00:00;4;-3.5;-11
2019-03-13 00:00:00;4;0;-4
2019-03-14 00:00:00;5;0;-5
2019-03-15 00:00:00;6;2;-2
2019-03-16 00:00:00;13;4;-5
2019-03-17 00:00:00;14;5;-4
2019-03-18 00:00:00;2;-2.5;-7
2019-03-19 00:00:00;-2;-6;-10
2019-03-20 00:00:00;-1;-5;-9
2019-03-21 00:00:00;-2;-6;-10
2019-03-22 00:00:00;1;-5.5;-12
2019-03-23 00:00:00;8;-0.5;-9
2019-03-24 00:00:00;4;-1.5;-7
2019-03-25 00:00:00;5;-0.5;-6
2019-03-26 00:00:00;2;-4.5;-11
2019-03-27 00:00:00;3;-3;-9
2019-03-28 00:00:00;2;-3;-8
2019-03-29 00:00:00;3;-1.5;-6
2019-03-30 00:00:00;5;-1;-7
2019-03-31 00:00:00;8;1;-6
2019-04-01 00:00:00;10;3;-4
2019-04-02 00:00:00;12;4;-4
2019-04-03 00:00:00;11;5;-1
2019-04-04 00:00:00;6;-0.5;-7
2019-04-05 00:00:00;4;-2;-8
2019-04-06 00:00:00;6;-1.5;-9
2019-04-07 00:00:00;6;-1;-8
2019-04-08 00:00:00;8;1.5;-5
2019-04-09 00:00:00;8;1;-6
2019-04-10 00:00:00;13;5;-3
2019-04-11 00:00:00;8;1;-6
2019-04-12 00:00:00;6;1.5;-3
2019-04-13 00:00:00;6;2;-2
2019-04-14 00:00:00;17;10;3
2019-04-15 00:00:00;14;6.5;-1
2019-04-16 00:00:00;5;0;-5
2019-04-17 00:00:00;6;-0.5;-7
2019-04-18 00:00:00;15;7;-1
2019-04-19 00:00:00;4;-1;-6
2019-04-20 00:00:00;8;1;-6
2019-04-21 00:00:00;15;7.5;0
2019-04-22 00:00:00;9;3;-3
2019-04-23 00:00:00;7;-0.5;-8
2019-04-24 00:00:00;13;5;-3
2019-04-25 00:00:00;16;9;2
2019-04-26 00:00:00;16;9;2
2019-04-27 00:00:00;19;10;1
2019-04-28 00:00:00;22;12.5;3
2019-04-29 00:00:00;16;8.5;1
2019-04-30 00:00:00;21;12;3
2019-05-01 00:00:00;25;17;9
2019-05-02 00:00:00;13;6.5;0
2019-05-03 00:00:00;6;1;-4
2019-05-04 00:00:00;11;3;-5
2019-05-05 00:00:00;18;8.5;-1
2019-05-06 00:00:00;22;13.5;5
2019-05-07 00:00:00;20;13.5;7
2019-05-08 00:00:00;22;15.5;9
2019-05-09 00:00:00;9;4.5;0
2019-05-10 00:00:00;7;2.5;-2
2019-05-11 00:00:00;10;2.5;-5
2019-05-12 00:00:00;17;9;1
2019-05-13 00:00:00;11;5.5;0
2019-05-14 00:00:00;6;3;0
2019-05-15 00:00:00;13;5.5;-2
2019-05-16 00:00:00;14;7;0
2019-05-17 00:00:00;12;6;0
2019-05-18 00:00:00;10;7;4
2019-05-19 00:00:00;16;7.5;-1
2019-05-20 00:00:00;22;13;4
2019-05-21 00:00:00;27;17.5;8
2019-05-22 00:00:00;25;17.5;10
2019-05-23 00:00:00;27;17;7
2019-05-24 00:00:00;17;10.5;4
2019-05-25 00:00:00;17;9;1
2019-05-26 00:00:00;21;12.5;4
2019-05-27 00:00:00;24;16;8
2019-05-28 00:00:00;9;4.5;0
2019-05-29 00:00:00;16;8.5;1
2019-05-30 00:00:00;22;13;4
2019-05-31 00:00:00;28;19;10
2019-06-01 00:00:00;19;11.5;4
2019-06-02 00:00:00;22;16.5;11
2019-06-03 00:00:00;13;10.5;8
2019-06-04 00:00:00;16;9.5;3
2019-06-05 00:00:00;21;13.5;6
2019-06-06 00:00:00;20;14;8
2019-06-07 00:00:00;24;16;8
2019-06-08 00:00:00;28;20.5;13
2019-06-09 00:00:00;30;21.5;13
2019-06-10 00:00:00;31;23.5;16
2019-06-11 00:00:00;22;17.5;13
2019-06-12 00:00:00;23;15.5;8
2019-06-13 00:00:00;30;21;12
2019-06-14 00:00:00;33;26.5;20
2019-06-15 00:00:00;31;24.5;18
2019-06-16 00:00:00;30;22.5;15
2019-06-17 00:00:00;30;23;16
2019-06-18 00:00:00;22;16.5;11
2019-06-19 00:00:00;30;20.5;11
2019-06-20 00:00:00;32;22;12
2019-06-21 00:00:00;33;25;17
2019-06-22 00:00:00;27;21.5;16
2019-06-23 00:00:00;26;19.5;13
2019-06-24 00:00:00;30;23.5;17
2019-06-25 00:00:00;21;16;11
2019-06-26 00:00:00;21;15.5;10
2019-06-27 00:00:00;21;17;13
2019-06-28 00:00:00;24;18;12
2019-06-29 00:00:00;23;18;13
2019-06-30 00:00:00;25;18;11
2019-07-01 00:00:00;28;20;12
2019-07-02 00:00:00;31;23;15
2019-07-03 00:00:00;33;25;17
2019-07-04 00:00:00;27;18.5;10
2019-07-05 00:00:00;29;20;11
2019-07-06 00:00:00;32;23;14
2019-07-07 00:00:00;25;19;13
2019-07-08 00:00:00;29;20.5;12
2019-07-09 00:00:00;32;24;16
2019-07-10 00:00:00;33;25;17
2019-07-11 00:00:00;33;25;17
2019-07-12 00:00:00;30;23.5;17
2019-07-13 00:00:00;27;20.5;14
2019-07-14 00:00:00;30;23;16
2019-07-15 00:00:00;32;24.5;17
2019-07-16 00:00:00;26;21.5;17
2019-07-17 00:00:00;29;23.5;18
2019-07-18 00:00:00;30;23.5;17
2019-07-19 00:00:00;29;23;17
2019-07-20 00:00:00;27;21.5;16
2019-07-21 00:00:00;28;21.5;15
2019-07-22 00:00:00;28;22.5;17
2019-07-23 00:00:00;26;21;16
2019-07-24 00:00:00;27;21.5;16
2019-07-25 00:00:00;26;21;16
2019-07-26 00:00:00;28;22;16
2019-07-27 00:00:00;20;18;16
2019-07-28 00:00:00;19;17;15
2019-07-29 00:00:00;21;18.5;16
2019-07-30 00:00:00;24;19;14
2019-07-31 00:00:00;29;22;15
2019-08-01 00:00:00;28;21.5;15
2019-08-02 00:00:00;27;21.5;16
2019-08-03 00:00:00;30;24;18
2019-08-04 00:00:00;23;19.5;16
2019-08-05 00:00:00;28;21;14
2019-08-06 00:00:00;25;17.5;10
2019-08-07 00:00:00;23;18.5;14
2019-08-08 00:00:00;22;17.5;13
2019-08-09 00:00:00;25;19.5;14
2019-08-10 00:00:00;26;20;14
2019-08-11 00:00:00;29;21;13
2019-08-12 00:00:00;20;14.5;9
2019-08-13 00:00:00;18;13.5;9
2019-08-14 00:00:00;20;15;10
2019-08-15 00:00:00;20;14.5;9
2019-08-16 00:00:00;23;16.5;10
2019-08-17 00:00:00;19;15.5;12
2019-08-18 00:00:00;21;15.5;10
2019-08-19 00:00:00;21;16;11
2019-08-20 00:00:00;19;14;9
2019-08-21 00:00:00;23;15;7
2019-08-22 00:00:00;24;17;10
2019-08-23 00:00:00;29;21;13
2019-08-24 00:00:00;26;20;14
2019-08-25 00:00:00;21;16;11
2019-08-26 00:00:00;16;14.5;13
2019-08-27 00:00:00;20;14;8
2019-08-28 00:00:00;25;17;9
2019-08-29 00:00:00;26;18;10
2019-08-30 00:00:00;27;19;11
2019-08-31 00:00:00;28;20;12
2019-09-01 00:00:00;30;22;14
2019-09-02 00:00:00;25;19.5;14
2019-09-03 00:00:00;25;20;15
2019-09-04 00:00:00;22;16.5;11
2019-09-05 00:00:00;24;18;12
2019-09-06 00:00:00;16;11;6
2019-09-07 00:00:00;12;9;6
2019-09-08 00:00:00;13;8.5;4
2019-09-09 00:00:00;18;10.5;3
2019-09-10 00:00:00;22;13.5;5
2019-09-11 00:00:00;23;16.5;10
2019-09-12 00:00:00;16;11.5;7
2019-09-13 00:00:00;14;10;6
2019-09-14 00:00:00;14;6;-2
2019-09-15 00:00:00;12;6;0
2019-09-16 00:00:00;12;6;0
2019-09-17 00:00:00;15;7.5;0
2019-09-18 00:00:00;18;10.5;3
2019-09-19 00:00:00;16;10;4
2019-09-20 00:00:00;21;13;5
2019-09-21 00:00:00;24;15;6
2019-09-22 00:00:00;20;12.5;5
2019-09-23 00:00:00;24;15;6
2019-09-24 00:00:00;24;15;6
2019-09-25 00:00:00;24;15.5;7
2019-09-26 00:00:00;16;11.5;7
2019-09-27 00:00:00;11;5;-1
2019-09-28 00:00:00;13;6;-1
2019-09-29 00:00:00;10;6;2
2019-09-30 00:00:00;15;9.5;4
2019-10-01 00:00:00;8;3;-2
2019-10-02 00:00:00;7;2;-3
2019-10-03 00:00:00;8;3;-2
2019-10-04 00:00:00;12;5;-2
2019-10-05 00:00:00;13;5.5;-2
2019-10-06 00:00:00;7;3.5;0
2019-10-07 00:00:00;9;5;1
2019-10-08 00:00:00;17;9;1
2019-10-09 00:00:00;4;0;-4
2019-10-10 00:00:00;0;-4;-8
2019-10-11 00:00:00;-1;-5;-9
2019-10-12 00:00:00;0;-4.5;-9
2019-10-13 00:00:00;3;-3;-9
2019-10-14 00:00:00;6;-1;-8
2019-10-15 00:00:00;9;1.5;-6
2019-10-16 00:00:00;11;2.5;-6
2019-10-17 00:00:00;10;3;-4
2019-10-18 00:00:00;9;2.5;-4
2019-10-19 00:00:00;4;1;-2
2019-10-20 00:00:00;6;1;-4
2019-10-21 00:00:00;4;-1;-6
2019-10-22 00:00:00;1;-3.5;-8
2019-10-23 00:00:00;0;-5;-10
2019-10-24 00:00:00;1;-4.5;-10
2019-10-25 00:00:00;2;-3;-8
2019-10-26 00:00:00;5;-0.5;-6
2019-10-27 00:00:00;0;-4;-8
2019-10-28 00:00:00;1;-4;-9
2019-10-29 00:00:00;8;2;-4
2019-10-30 00:00:00;6;1;-4
2019-10-31 00:00:00;5;0;-5
2019-11-01 00:00:00;7;1.5;-4
2019-11-02 00:00:00;5;-0.5;-6
2019-11-03 00:00:00;4;-1;-6
2019-11-04 00:00:00;-1;-5;-9
2019-11-05 00:00:00;-1;-5;-9
2019-11-06 00:00:00;-1;-4;-7
2019-11-07 00:00:00;4;-1;-6
2019-11-08 00:00:00;3;-1.5;-6
2019-11-09 00:00:00;3;-1.5;-6
2019-11-10 00:00:00;-1;-7;-13
2019-11-11 00:00:00;-8;-11.5;-15
2019-11-12 00:00:00;-12;-15;-18
2019-11-13 00:00:00;-12;-16;-20
2019-11-14 00:00:00;-9;-14.5;-20
2019-11-15 00:00:00;-12;-16.5;-21
2019-11-16 00:00:00;-10;-13.5;-17
2019-11-17 00:00:00;-16;-20.5;-25
2019-11-18 00:00:00;-17;-22;-27
2019-11-19 00:00:00;-18;-22;-26
2019-11-20 00:00:00;-15;-19;-23
2019-11-21 00:00:00;-11;-14.5;-18
2019-11-22 00:00:00;-13;-17;-21
2019-11-23 00:00:00;-13;-17;-21
2019-11-24 00:00:00;-13;-17;-21
2019-11-25 00:00:00;-11;-16.5;-22
2019-11-26 00:00:00;-12;-17;-22
2019-11-27 00:00:00;-15;-19.5;-24
2019-11-28 00:00:00;-17;-20.5;-24
2019-11-29 00:00:00;-14;-17;-20
2019-11-30 00:00:00;-14;-17.5;-21
2019-12-01 00:00:00;-11;-13;-15
2019-12-02 00:00:00;-9;-11.5;-14
2019-12-03 00:00:00;-11;-17.5;-24
2019-12-04 00:00:00;-19;-22;-25
2019-12-05 00:00:00;-17;-20;-23
2019-12-06 00:00:00;-15;-19.5;-24
2019-12-07 00:00:00;-14;-18.5;-23
2019-12-08 00:00:00;-10;-12.5;-15
2019-12-09 00:00:00;-9;-12;-15
2019-12-10 00:00:00;-10;-15;-20
2019-12-11 00:00:00;-12;-14.5;-17
2019-12-12 00:00:00;-4;-8.5;-13
2019-12-13 00:00:00;-10;-14.5;-19
2019-12-14 00:00:00;-11;-15;-19
2019-12-15 00:00:00;-8;-12.5;-17
2019-12-16 00:00:00;-11;-15;-19
2019-12-17 00:00:00;-16;-18.5;-21
2019-12-18 00:00:00;-11;-15.5;-20
2019-12-19 00:00:00;-17;-18.5;-20
2019-12-20 00:00:00;-13;-16.5;-20
2019-12-21 00:00:00;-17;-19;-21
2019-12-22 00:00:00;-18;-21.5;-25
2019-12-23 00:00:00;-22;-24.5;-27
2019-12-24 00:00:00;-23;-26;-29
2019-12-25 00:00:00;-24;-26.5;-29
2019-12-26 00:00:00;-23;-24.5;-26
2019-12-27 00:00:00;-19;-22.5;-26
2019-12-28 00:00:00;-20;-25.5;-31
2019-12-29 00:00:00;-28;-32;-36
2019-12-30 00:00:00;-29;-32.5;-36
2019-12-31 00:00:00;-26;-29;-32
2020-01-01 00:00:00;-23;-26;-29
2020-01-02 00:00:00;-22;-24.5;-27
2020-01-03 00:00:00;-17;-21.5;-26
2020-01-04 00:00:00;-20;-23;-26
2020-01-05 00:00:00;-15;-19;-23
2020-01-06 00:00:00;-17;-20.5;-24
2020-01-07 00:00:00;-20;-23.5;-27
2020-01-08 00:00:00;-21;-23.5;-26
2020-01-09 00:00:00;-18;-21.5;-25
2020-01-10 00:00:00;-15;-20;-25
2020-01-11 00:00:00;-20;-23.5;-27
2020-01-12 00:00:00;-23;-26.5;-30
2020-01-13 00:00:00;-25;-27.5;-30
2020-01-14 00:00:00;-25;-27.5;-30
2020-01-15 00:00:00;-23;-26.5;-30
2020-01-16 00:00:00;-23;-25.5;-28
2020-01-17 00:00:00;-23;-26;-29
2020-01-18 00:00:00;-21;-24;-27
2020-01-19 00:00:00;-10;-19;-28
2020-01-20 00:00:00;-20;-24;-28
2020-01-21 00:00:00;-20;-24;-28
2020-01-22 00:00:00;-18;-22.5;-27
2020-01-23 00:00:00;-21;-25;-29
2020-01-24 00:00:00;-23;-26.5;-30
2020-01-25 00:00:00;-22;-25.5;-29
2020-01-26 00:00:00;-20;-23.5;-27
2020-01-27 00:00:00;-17;-21;-25
2020-01-28 00:00:00;-16;-20.5;-25
2020-01-29 00:00:00;-18;-21.5;-25
2020-01-30 00:00:00;-9;-15;-21
2020-01-31 00:00:00;-14;-22;-30
2020-02-01 00:00:00;-18;-24;-30
2020-02-02 00:00:00;-18;-23.5;-29
2020-02-03 00:00:00;-20;-27;-34
2020-02-04 00:00:00;-23;-28.5;-34
2020-02-05 00:00:00;-21;-24;-27
2020-02-06 00:00:00;-16;-21;-26
2020-02-07 00:00:00;-18;-22;-26
2020-02-08 00:00:00;-12;-18;-24
2020-02-09 00:00:00;-12;-16.5;-21
2020-02-10 00:00:00;-8;-14;-20
2020-02-11 00:00:00;-3;-9;-15
2020-02-12 00:00:00;-11;-17;-23
2020-02-13 00:00:00;-12;-19.5;-27
2020-02-14 00:00:00;-15;-21.5;-28
2020-02-15 00:00:00;-12;-18;-24
2020-02-16 00:00:00;-12;-18.5;-25
2020-02-17 00:00:00;-6;-14.5;-23
2020-02-18 00:00:00;-12;-18;-24
2020-02-19 00:00:00;-12;-17.5;-23
2020-02-20 00:00:00;-8;-14.5;-21
2020-02-21 00:00:00;-7;-14.5;-22
2020-02-22 00:00:00;-8;-15;-22
2020-02-23 00:00:00;-5;-12.5;-20
2020-02-24 00:00:00;-8;-14.5;-21
2020-02-25 00:00:00;-9;-15;-21
2020-02-26 00:00:00;-6;-11.5;-17
2020-02-27 00:00:00;-6;-15;-24
2020-02-28 00:00:00;-9;-16.5;-24
2020-02-29 00:00:00;-8;-15.5;-23
2020-03-01 00:00:00;-5;-11;-17
2020-03-02 00:00:00;-6;-15;-24
2020-03-03 00:00:00;-8;-16.5;-25
2020-03-04 00:00:00;-6;-12;-18
2020-03-05 00:00:00;-4;-10.5;-17
2020-03-06 00:00:00;-3;-10.5;-18
2020-03-07 00:00:00;-6;-9.5;-13
2020-03-08 00:00:00;-8;-12;-16
2020-03-09 00:00:00;-3;-10.5;-18
2020-03-10 00:00:00;-3;-10.5;-18
2020-03-11 00:00:00;-4;-10.5;-17
2020-03-12 00:00:00;-1;-9;-17
2020-03-13 00:00:00;1;-1.5;-4
2020-03-14 00:00:00;5;-1.5;-8
2020-03-15 00:00:00;5;-2;-9
2020-03-16 00:00:00;6;1;-4
2020-03-17 00:00:00;6;1;-4
2020-03-18 00:00:00;3;-2;-7
2020-03-19 00:00:00;2;-2.5;-7
2020-03-20 00:00:00;1;-3;-7
2020-03-21 00:00:00;6;0;-6
2020-03-22 00:00:00;12;3.5;-5
2020-03-23 00:00:00;11;3.5;-4
2020-03-24 00:00:00;3;-4;-11
2020-03-25 00:00:00;-9;-10;-11
2020-03-26 00:00:00;-4;-6.5;-9
2020-03-27 00:00:00;3;-3.5;-10
2020-03-28 00:00:00;8;0;-8
2020-03-29 00:00:00;4;-1;-6
2020-03-30 00:00:00;2;-2;-6
2020-03-31 00:00:00;8;2;-4
2020-04-01 00:00:00;12;4;-4
2020-04-02 00:00:00;15;6;-3
2020-04-03 00:00:00;16;6.5;-3
2020-04-04 00:00:00;17;8.5;0
2020-04-05 00:00:00;6;0.5;-5
2020-04-06 00:00:00;11;4.5;-2
2020-04-07 00:00:00;15;7;-1
2020-04-08 00:00:00;16;7;-2
2020-04-09 00:00:00;16;7;-2
2020-04-10 00:00:00;18;8.5;-1
2020-04-11 00:00:00;19;10;1
2020-04-12 00:00:00;10;3.5;-3
2020-04-13 00:00:00;9;2.5;-4
2020-04-14 00:00:00;8;3.5;-1
2020-04-15 00:00:00;13;7;1
2020-04-16 00:00:00;16;6.5;-3
2020-04-17 00:00:00;17;10;3
2020-04-18 00:00:00;10;4.5;-1
2020-04-19 00:00:00;2;-2.5;-7
2020-04-20 00:00:00;2;-3;-8
2020-04-21 00:00:00;4;-2;-8
2020-04-22 00:00:00;11;3;-5
2020-04-23 00:00:00;21;11;1
2020-04-24 00:00:00;16;7.5;-1
2020-04-25 00:00:00;19;11;3
2020-04-26 00:00:00;24;15.5;7
2020-04-27 00:00:00;19;13;7
2020-04-28 00:00:00;18;11;4
2020-04-29 00:00:00;20;13;6
2020-04-30 00:00:00;24;17;10
2020-05-01 00:00:00;20;12.5;5
2020-05-02 00:00:00;9;5;1
2020-05-03 00:00:00;16;9.5;3
2020-05-04 00:00:00;18;10.5;3
2020-05-05 00:00:00;22;14.5;7
2020-05-06 00:00:00;11;7.5;4
2020-05-07 00:00:00;15;10.5;6
2020-05-08 00:00:00;12;8;4
2020-05-09 00:00:00;12;7;2
2020-05-10 00:00:00;16;12;8
2020-05-11 00:00:00;17;9.5;2
2020-05-12 00:00:00;23;16;9
2020-05-13 00:00:00;21;11;1
2020-05-14 00:00:00;18;9.5;1
2020-05-15 00:00:00;5;3.5;2
2020-05-16 00:00:00;13;7.5;2
2020-05-17 00:00:00;17;10.5;4
2020-05-18 00:00:00;22;15;8
2020-05-19 00:00:00;21;14;7
2020-05-20 00:00:00;20;13;6
2020-05-21 00:00:00;13;10.5;8
2020-05-22 00:00:00;17;11.5;6
2020-05-23 00:00:00;23;15;7
2020-05-24 00:00:00;22;14;6
2020-05-25 00:00:00;25;16.5;8
2020-05-26 00:00:00;24;17;10
2020-05-27 00:00:00;27;17;7
2020-05-28 00:00:00;13;9.5;6
2020-05-29 00:00:00;14;9.5;5
2020-05-30 00:00:00;16;8;0
2020-06-05 00:00:00;19;13.5;8
2020-06-06 00:00:00;25;18;11
2020-06-07 00:00:00;18;12;6
2020-06-08 00:00:00;19;12.5;6
2020-06-09 00:00:00;21;13.5;6
2020-06-10 00:00:00;18;13;8
2020-06-11 00:00:00;20;14;8
2020-06-12 00:00:00;20;14.5;9
2020-06-13 00:00:00;24;16.5;9
2020-06-14 00:00:00;29;20.5;12
2020-06-15 00:00:00;32;23;14
2020-06-16 00:00:00;24;18;12
2020-06-17 00:00:00;23;16;9
2020-06-18 00:00:00;25;18;11
2020-06-19 00:00:00;24;18.5;13
2020-06-20 00:00:00;23;17;11
2020-06-21 00:00:00;26;20;14
2020-06-22 00:00:00;23;18;13
2020-06-23 00:00:00;23;17.5;12
2020-06-24 00:00:00;24;18;12
2020-06-25 00:00:00;27;20;13
2020-06-26 00:00:00;29;21.5;14
2020-06-27 00:00:00;30;23;16
2020-06-28 00:00:00;29;22.5;16
2020-06-29 00:00:00;28;21.5;15
2020-06-30 00:00:00;27;20.5;14
2020-07-01 00:00:00;28;22;16
2020-07-02 00:00:00;29;22.5;16
2020-07-03 00:00:00;30;23;16
2020-07-04 00:00:00;32;24.5;17
2020-07-05 00:00:00;29;20.5;12
2020-07-06 00:00:00;29;22;15
2020-07-07 00:00:00;33;26;19
2020-07-08 00:00:00;25;20.5;16
2020-07-09 00:00:00;22;19;16
2020-07-10 00:00:00;22;19;16
2020-07-17 00:00:00;21;16;11
2020-07-18 00:00:00;21;15;9
2020-07-19 00:00:00;17;12.5;8
2020-07-20 00:00:00;21;14.5;8
2020-07-21 00:00:00;27;20;13
2020-07-22 00:00:00;33;24.5;16
2020-07-23 00:00:00;21;17;13
2020-07-24 00:00:00;28;22;16
2020-07-25 00:00:00;25;20;15
2020-07-26 00:00:00;25;20.5;16
2020-07-27 00:00:00;21;18.5;16
2020-07-28 00:00:00;24;18.5;13
2020-07-29 00:00:00;28;22;16
2020-07-30 00:00:00;22;18.5;15
2020-07-31 00:00:00;25;20.5;16
2020-08-01 00:00:00;20;18.5;17
2020-08-02 00:00:00;19;17.5;16
2020-08-03 00:00:00;21;16.5;12
2020-08-04 00:00:00;24;18.5;13
2020-08-05 00:00:00;27;21.5;16
2020-08-06 00:00:00;22;19;16
2020-08-07 00:00:00;20;16.5;13
2020-08-08 00:00:00;19;17;15
2020-08-09 00:00:00;18;16.5;15
2020-08-10 00:00:00;20;15.5;11
2020-08-11 00:00:00;25;19;13
2020-08-12 00:00:00;25;20.5;16
2020-08-13 00:00:00;22;17.5;13
2020-08-14 00:00:00;25;19;13
2020-08-15 00:00:00;24;17.5;11
2020-08-16 00:00:00;24;16.5;9
2020-08-17 00:00:00;22;15;8
2020-08-18 00:00:00;23;16;9
2020-08-19 00:00:00;27;19.5;12
2020-08-20 00:00:00;25;18.5;12
2020-08-21 00:00:00;23;19;15
2020-08-22 00:00:00;21;17;13
2020-08-23 00:00:00;21;17.5;14
2020-08-24 00:00:00;20;15;10
2020-08-25 00:00:00;19;14.5;10
2020-08-26 00:00:00;22;17;12
2020-08-27 00:00:00;18;15.5;13
2020-08-28 00:00:00;17;15;13
2020-08-29 00:00:00;18;15.5;13
2020-08-30 00:00:00;17;15.5;14
2020-08-31 00:00:00;18;15;12
2020-09-01 00:00:00;17;11.5;6
2020-09-02 00:00:00;22;15;8
2020-09-03 00:00:00;20;13.5;7
2020-09-04 00:00:00;22;15;8
2020-09-05 00:00:00;24;17;10
2020-09-06 00:00:00;14;10;6
2020-09-07 00:00:00;23;15.5;8
2020-09-08 00:00:00;25;18;11
2020-09-09 00:00:00;17;12.5;8
2020-09-10 00:00:00;22;15.5;9
2020-09-11 00:00:00;12;10.5;9
2020-09-12 00:00:00;11;9.5;8
2020-09-13 00:00:00;9;7.5;6
2020-09-14 00:00:00;10;7.5;5
2020-09-15 00:00:00;15;9.5;4
2020-09-16 00:00:00;14;9.5;5
2020-09-17 00:00:00;17;10;3
2020-09-18 00:00:00;18;10.5;3
2020-09-19 00:00:00;18;11.5;5
2020-09-20 00:00:00;14;10.5;7
2020-09-21 00:00:00;12;8.5;5
2020-09-22 00:00:00;14;7;0
2020-09-23 00:00:00;15;7.5;0
2020-09-24 00:00:00;18;10;2
2020-09-25 00:00:00;18;11.5;5
2020-09-26 00:00:00;12;9;6
2020-09-27 00:00:00;9;6;3
2020-09-28 00:00:00;10;4;-2
2020-09-29 00:00:00;14;6.5;-1
2020-09-30 00:00:00;10;5.5;1
2020-10-01 00:00:00;4;0.5;-3
2020-10-02 00:00:00;4;1;-2
2020-10-03 00:00:00;4;-0.5;-5
2020-10-04 00:00:00;7;1;-5
2020-10-05 00:00:00;8;1.5;-5
2020-10-06 00:00:00;9;2.5;-4
2020-10-07 00:00:00;9;3;-3
2020-10-08 00:00:00;8;4;0
2020-10-19 00:00:00;9;2.5;-4
2020-10-20 00:00:00;1;-2.5;-6
2020-10-24 00:00:00;7;0;-7
2020-10-25 00:00:00;4;0.5;-3
2020-10-26 00:00:00;0;-5;-10
2020-10-27 00:00:00;1;-4.5;-10
2020-10-28 00:00:00;5;-2.5;-10
2020-10-29 00:00:00;4;-2;-8
2020-10-30 00:00:00;3;-1;-5
2020-10-31 00:00:00;1;-3;-7
2020-11-01 00:00:00;-4;-7.5;-11
2020-11-02 00:00:00;-4;-8.5;-13
2020-11-03 00:00:00;-4;-9;-14
2020-11-04 00:00:00;-1;-4.5;-8
2020-11-05 00:00:00;0;-3.5;-7
2020-11-06 00:00:00;2;-2.5;-7
2020-11-07 00:00:00;-3;-7;-11
2020-11-08 00:00:00;0;-4.5;-9
2020-11-09 00:00:00;3;-3;-9
2020-11-10 00:00:00;0;-5;-10
